Username;Password;ID;role;classe_id;Password_hash
user1;12345;1;eleve;3;$2y$10$bmBavZxFXv1DGeEKwZovDuSkZWMbRdOITIXzyqADJz9814nbQXMzC
user2;67809;2;eleve;2;$2y$10$K1diJFw1rnzZcxI80o7OoOGHy3hTcER.zJvdUQM0ZyZ0tOeMwd0Ba
user3;13570;3;eleve;4;$2y$10$o/UJYc6olx0nyaQLa0xFd.4XSsonAqq6yS8POm3NU66/Yq6rqq2n2
user4;9876;4;admin;;$2y$10$RGfMWL0NdoxwJtHUR0jj8uUV3XBslPGIHXwsyeT98eoQ3bdiihoC6
user5;124578;5;eleve;4;$2y$10$WipSV36DVVZndub09UDL0..cLruVSp7Tg3n8i1psEBrfRumu13gdu
user6;135790;8;eleve;2;$2y$10$AzCy2F4TGpj1pT5orK9/3emMbDi2RvG7ke7WqETrt9xsi6b8Kh.V6
user7;1290;11;eleve;3;$2y$10$KpoT3EFtabuHFoA04DwUa.1rNDbaCWCqfh0jYjy97mvFjwtv7WwB6
prof1;12095;12;prof;;$2y$10$oWqTBkJ1XBTMN3I8x3zN7.ZBok.QPUwDRej6nXtkmhIMakhQjcjQC
p;12;13;prof;;$2y$10$hYhiMUM6F6bKXhFhoApeIeMq7EDzO8MdOF64nzBxy0m4QvyvuuZue
usera;13;14;eleve;2;$2y$10$Bvjr86PbRFSVOgNbaUvyous5m6x5Vu7WPz1zyQcJfvep/z/xOAXei
userb;14;15;eleve;2;$2y$10$.rcJ5ZEgeBRGMH7SJUwHR.PTodb07WZbSg/i1GJxac05n6giIXwyS
user10;15;16;eleve;2;$2y$10$lr2fpUvEI.LOQvOvHyCvgOY6H2dfjunhRf4XnSz5JY3r.7x388SFS
user11;16;17;eleve;2;$2y$10$uxfOkVy2RCilQZOBXpUpweGclKrhj2eWdovcJZAbjG8doKhEhXFee
user12;17;18;eleve;2;$2y$10$p0rgAeJCDs0irrc1.iFax./t.2YJcrEb/gxDokhKqp4rAWujBNv3u
user13;18;19;eleve;2;$2y$10$TgZf1jwReQXgGIW1TgjEEel5bRqPjLLom3xNdYIecJgAaKf0vM78.
user14;19;20;eleve;2;$2y$10$nft4Pz/6SaAIm/M1Qh1V3eubSq9g1.OWBVVpmY8A7Mhg01VR///Qy
user15;20;21;eleve;2;$2y$10$n2Z11oqED0caidonrkkq/OAk000HUNeop2UO0UtbwSJvGs8m525Zu
user16;21;22;eleve;2;$2y$10$brxVbLfSTXMvxm/A4GjI1.Gv9gqCQH1t257rbtcqGggPQwrnd0/U6
user17;22;23;eleve;2;$2y$10$h.X1LWt5/yP450fgPTt.ouqitDRd8dIcvjaSys1DBNeOnK840icE2
user18;23;24;eleve;2;$2y$10$LNqzQPi5DjGo.Ux8PO9TE.UStUgPrsXtvCY/67Rei5yq1Ug1ZEVsK
user19;24;25;eleve;2;$2y$10$TyVPLnPnuATIzJmjXWRUfOzhtn2QGOwioqBFiG7m2ZA/lSx/vF2S.
user20;25;26;eleve;2;$2y$10$oZIegv0D64G1yFU0H6KlGO9Rk0ZFkL.52GQiggMXV/luQT26GIorW
user21;26;27;eleve;2;$2y$10$I8sEejrDRk/bk3UNu/NeXO69iNn0DqzvHtVn3S9hkhASNUhB.J.hK
user22;27;28;eleve;2;$2y$10$ZbvG6KyxjVJiKxXzOh0Tse2zxtZ7M7sGX9TBKjouPyKjQfJEwt3Uq
user23;28;29;eleve;2;$2y$10$dU9Lbt6IwdcFIV0n6p6gO.gkEpmnyWQEYyDRk3/d9cLpgfm9DGHf2
user24;29;30;eleve;2;$2y$10$Xo3QFDRsPRsTaV47Ci/oYuRxbDVPebFHqU66BYRnEcJVTI9YQvcUy
user25;30;31;eleve;2;$2y$10$qmALhgDu69fhtTXdKMuTdeytgP7LNzO4EIqeJBul0XNPJ3I7.efbm
user26;31;32;eleve;2;$2y$10$86YOaduLG1JapSRREFZSrei.LLGBJD9H0JXsxsscdxShI8WMzYNk6
user27;32;33;eleve;2;$2y$10$HH2G5NsO3On0rbxfBXfbcOVbQDLJeTfrbx4DBesmOO3dF3Dc5tJcW
user28;33;34;eleve;2;$2y$10$v85.Gfk7BU0MthnsyW00s.FBKoAbtkjITMCxgHcZ6NY7gsQwONsiK
user29;34;35;eleve;2;$2y$10$2l2uohQTgwbjl/j7rE6C5O.AscKWqVXHKJIG6dPmqV7NkuTmjS1si
user30;35;36;eleve;2;$2y$10$kVBObTCwsPtHOa4rXp7NAuMPvLQrLW8lQg0bOEfSHBAjzqlJNmN26
user31;36;37;eleve;2;$2y$10$wqgzEAuHc4./gJ8tkRh9feB/MUsp2/l9Ossmc1gMBcgsl4Gozlyzi
user32;37;38;eleve;2;$2y$10$Bs6hiVyrq7iVLUWZEhfI4e3wWJcvGYYsb2h23pKEVtdG8toQwL7t6
user33;38;39;eleve;2;$2y$10$RyJgXKjeOaK90UmbW1vQKe5ewlSlZVp/DxyHKSKCxD7UdPuV7BvwG
user34;39;40;eleve;2;$2y$10$WPWUn4H/xDit7KmiBS8duOHRbguLSZfE0FghVxvUHLpBPr2p6Lnc6
user35;40;41;eleve;2;$2y$10$rBIAvx4wyGqHL24VHrHpOeijB0CUovqyfFgodfIRQDOK/wpzHC98C
user36;41;42;eleve;3;$2y$10$ahqowgKAz6fyEJuqz3n65.CFcUrbR1sQWRi6oANChY/YjO6tvR21C
user37;42;43;eleve;3;$2y$10$Cu63eZRL6/GgT.oq3DpRyeyiMuZJp2aokd.6B9OPlphAnJXSDELAq
user38;43;44;eleve;3;$2y$10$eR4btFsHPQ2SJSBLjtf1E.GuQGbayTPQVm8jPZNjXN3Ls80c2.9a.
user39;44;45;eleve;3;$2y$10$FC15f.c4dr/kP7TrhqM8heURDTKauoQzlYIAEH2NLbhi8NbdwdEoe
user40;45;46;eleve;3;$2y$10$CoqeZyrYECaaR.AkzO4O1eVT6e3qp5oVA7nYDR4zQlM7OSIn3g7FW
user41;46;47;eleve;3;$2y$10$ZfnDSUVbg95yLLk.VZx9mupj1Jukupt8vsc/O/lEwEU0BdKziRIQa
user42;47;48;eleve;3;$2y$10$Iyw.MStPj9fFtfa6qtAbC.7zwY6WsVfbGetq/WGthr2X.Qn.Thw9y
user43;48;49;eleve;3;$2y$10$rgVEzvKrjlWa4BCrnnXnD.6SwTjFSPNQHgaTTWxw1ddHbHQ1e8QBG
user44;49;50;eleve;3;$2y$10$7sgQ0WYogD2ABiKVYJXLOOE39uxX0fFsZ..awdW2MSYlXgKs9fvoG
user45;50;51;eleve;3;$2y$10$sxlcZMZ0ihNahNwNT/xMhuV.r9nKa32zXleADVRZs6V5bx9LNs/1S
user46;51;52;eleve;3;$2y$10$Vo0g9yLE6a9fWY0.cBYZoOEp/w6e4woJbeDEA0SyylnneJX5SUBZO
user47;52;53;eleve;3;$2y$10$5dSOd3r8IqwnR7KFLG9b8eLYO.wVKKTzNfyMicIZ3AzmwrbLhWAiC
user48;53;54;eleve;3;$2y$10$MnJYGyB2n6.2lYGnLKm5Mu8DQB83wjiF3Av/tB3K1gR8T7EBPFUJy
user49;54;55;eleve;3;$2y$10$MQ4YUJxnA9O43OmjIPZTZ.k/QKOTIqbftLT2TmROOy7L6b.uFPslS
user50;55;56;eleve;3;$2y$10$4Do0kDokIL6quMCjJR2rmuMZmhnBXcZT0WE72FRf7tfWNjtQatbk2
user51;56;57;eleve;3;$2y$10$3JcXv.RI79ANoo6sQQzk0ev2b5QU3FUDxpgRe5OMcqt0B8zUdIjOG
user52;57;58;eleve;3;$2y$10$XG7sJaQ3CEvLX5ZDAsPMHeC5MCRcCJdxjuQGIKDULzgE1TDXjOUde
user53;58;59;eleve;3;$2y$10$.7LbbdcZEZ/QmDHoDbjCBuFJcNc60kmrj5xPUkDHVQw4f9wZsZDoG
user54;59;60;eleve;3;$2y$10$DYNplK3Wl78Ce2r3NPUHOOutca.40fYlkApg002AzALBAPdCpY.H2
user55;60;61;eleve;3;$2y$10$/OpqH0cTkWwjp69Iw4QX8.S0lMpsCzASuRwE1ovDZDXKX/yi.01Qy
user56;61;62;eleve;3;$2y$10$KkJGVIGAEeC0vU6Mml3c8eTBsp7.E.wF2Vzt03.TqO0C4YhwL4Yc2
user57;62;63;eleve;3;$2y$10$fhineXgIgWI4p.FZdlmV8uwOd84Klw1DhjQM9.fKIb/uL9xi80CPK
user58;63;64;eleve;3;$2y$10$2JmTRUc0Gww6bCcdTLOYjO4ZREnTJF2YpE05V8lNqLzGB7NCyl4k6
user59;64;65;eleve;3;$2y$10$fSLPg2phAGCCEAH.qaiz1eDizv6AMkir2833n6fgCd.9FG9p3y1h2
user60;65;66;eleve;3;$2y$10$XlhMQm66AGZHpfklRCa4ku6wvjmSrdRvIbZD5pL3q0SU6zTlGKegy
user61;66;67;eleve;3;$2y$10$l8lbTGGYu.rDPltOTYNiD.PHPJ5CZqPSIw9Wu3KdTJQaNgoLOXxhG
user62;67;68;eleve;3;$2y$10$ck7N2RE811frRk64q7x36ue4kAVLhc1Jx/6167A6vjSWJIVexL.Ru
